time of insert, time of get, number of rehashed, number of keys
415953,47994,21,10000000
3631265,487032,24,100000000
5,0,4,100
28,5,7,1000
393,48,11,10000
3424,465,14,100000
30896,5080,17,1000000
420527,49178,21,10000000
3597406,491740,24,100000000
5,0,4,100
26,5,7,1000
368,48,11,10000
3421,463,14,100000
32199,4846,17,1000000
426758,49879,21,10000000
3595894,497216,24,100000000
4,0,4,100
27,5,7,1000
370,48,11,10000
3366,462,14,100000
30467,4754,17,1000000
412832,50288,21,10000000
3595831,495567,24,100000000
6,0,4,100
27,5,7,1000
394,47,11,10000
3430,463,14,100000
31372,4861,17,1000000
413618,48995,21,10000000
3599682,497846,24,100000000
6,0,4,100
27,5,7,1000
406,69,11,10000
3523,584,14,100000
31723,5007,17,1000000
426937,49880,21,10000000
3537562,498992,24,100000000
5,0,4,100
27,5,7,1000
367,60,11,10000
3300,462,14,100000
30731,4956,17,1000000
408352,48693,21,10000000
3540074,491804,24,100000000
7,0,4,100
26,4,7,1000
368,48,11,10000
3460,462,14,100000
30907,4866,17,1000000
423778,50082,21,10000000
3532665,497248,24,100000000
5,0,4,100
27,5,7,1000
379,47,11,10000
3602,486,14,100000
31106,4900,17,1000000
432647,48330,21,10000000
3530449,493746,24,100000000
5,0,4,100
26,5,7,1000
368,63,11,10000
3416,459,14,100000
30539,4872,17,1000000
412964,49021,21,10000000
3600098,492104,24,100000000
6,0,4,100
27,5,7,1000
440,48,11,10000
3391,575,14,100000
30946,4835,17,1000000
404997,51385,21,10000000
3492044,496344,24,100000000
5,0,4,100
25,4,7,1000
354,46,11,10000
3408,530,14,100000
31168,4871,17,1000000
415114,48052,21,10000000
3526640,490677,24,100000000
5,0,4,100
26,5,7,1000
359,46,11,10000
3388,575,14,100000
30983,4928,17,1000000
412428,48892,21,10000000
3487623,497319,24,100000000
5,0,4,100
26,4,7,1000
430,46,11,10000
3426,545,14,100000
30155,4788,17,1000000
416613,49072,21,10000000
3522831,497522,24,100000000
5,0,4,100
25,4,7,1000
399,46,11,10000
3336,575,14,100000
30123,4805,17,1000000
407823,48600,21,10000000
3538211,489187,24,100000000
6,0,4,100
26,5,7,1000
407,90,11,10000
3303,566,14,100000
30739,4880,17,1000000
418817,49344,21,10000000
3491383,491254,24,100000000
6,0,4,100
27,5,7,1000
462,48,11,10000
3418,461,14,100000
30331,4800,17,1000000
408696,49118,21,10000000
3492855,497246,24,100000000
6,0,4,100
25,4,7,1000
