time of insert, time of get, number of rehashed, number of keys
197409,33146,undefined,1000000
1907497,331179,undefined,10000000
19385930,3330586,undefined,100000000
22,3,undefined,100
178,27,undefined,1000
1794,303,undefined,10000
20146,2825,undefined,100000
192492,35376,undefined,1000000
1884261,328920,undefined,10000000
19407978,3277064,undefined,100000000
24,3,undefined,100
195,26,undefined,1000
1750,330,undefined,10000
20332,2954,undefined,100000
194183,31824,undefined,1000000
1852674,327082,undefined,10000000
19336513,3288840,undefined,100000000
23,3,undefined,100
188,27,undefined,1000
1825,331,undefined,10000
20634,2977,undefined,100000
193041,32927,undefined,1000000
1905565,333901,undefined,10000000
19645172,3330968,undefined,100000000
22,3,undefined,100
188,27,undefined,1000
1728,267,undefined,10000
20278,2868,undefined,100000
195205,33341,undefined,1000000
1892903,328190,undefined,10000000
19707806,3289407,undefined,100000000
23,3,undefined,100
187,33,undefined,1000
1834,279,undefined,10000
20022,3177,undefined,100000
201004,32877,undefined,1000000
1921722,332858,undefined,10000000
20060800,3283143,undefined,100000000
24,6,undefined,100
195,28,undefined,1000
1855,282,undefined,10000
19989,2856,undefined,100000
190728,32711,undefined,1000000
1915868,329585,undefined,10000000
19936273,3275525,undefined,100000000
23,3,undefined,100
190,29,undefined,1000
1893,281,undefined,10000
22367,3158,undefined,100000
193728,32949,undefined,1000000
1943375,331093,undefined,10000000
19514460,3299092,undefined,100000000
21,3,undefined,100
187,30,undefined,1000
1815,263,undefined,10000
20432,2927,undefined,100000
201145,34167,undefined,1000000
1900610,337714,undefined,10000000
20005503,3331453,undefined,100000000
22,3,undefined,100
194,27,undefined,1000
1819,330,undefined,10000
20813,2910,undefined,100000
192591,32516,undefined,1000000
1913326,334298,undefined,10000000
19712827,3268669,undefined,100000000
27,3,undefined,100
191,27,undefined,1000
1733,268,undefined,10000
20505,2961,undefined,100000
194983,32435,undefined,1000000
1910456,333933,undefined,10000000
19845383,3310098,undefined,100000000
23,3,undefined,100
200,28,undefined,1000
1906,349,undefined,10000
20887,3146,undefined,100000
191593,31967,undefined,1000000
1881663,333098,undefined,10000000
20264729,3250449,undefined,100000000
22,3,undefined,100
182,28,undefined,1000
1715,292,undefined,10000
19412,2908,undefined,100000
191216,33553,undefined,1000000
1973094,335135,undefined,10000000
19938942,3191449,undefined,100000000
23,3,undefined,100
190,28,undefined,1000
1825,349,undefined,10000
19764,3543,undefined,100000
183232,32160,undefined,1000000
1838054,323234,undefined,10000000
19301303,3210204,undefined,100000000
22,3,undefined,100
181,26,undefined,1000
1811,326,undefined,10000
19436,2772,undefined,100000
183489,31906,undefined,1000000
1812728,320744,undefined,10000000
19390407,3225208,undefined,100000000
20,3,undefined,100
180,26,undefined,1000
1836,327,undefined,10000
20090,2906,undefined,100000
186605,31310,undefined,1000000
1800826,320225,undefined,10000000
19470998,3236387,undefined,100000000
24,3,undefined,100
190,28,undefined,1000
1900,280,undefined,10000
19896,2725,undefined,100000
182854,32051,undefined,1000000
1821432,319172,undefined,10000000
19352646,3206536,undefined,100000000
20,3,undefined,100
181,26,undefined,1000
1733,296,undefined,10000
19731,2870,undefined,100000
187129,31123,undefined,1000000
1816497,327426,undefined,10000000
19334175,3208808,undefined,100000000
22,3,undefined,100
183,27,undefined,1000
1875,280,undefined,10000
21508,2953,undefined,100000
180479,30864,undefined,1000000
1822669,315745,undefined,10000000
19352652,3188833,undefined,100000000
24,3,undefined,100
182,27,undefined,1000
1740,329,undefined,10000
19719,2832,undefined,100000
183823,30583,undefined,1000000
1815973,319553,undefined,10000000
19438768,3178467,undefined,100000000
25,3,undefined,100
175,27,undefined,1000
1780,327,undefined,10000
19323,2737,undefined,100000
183274,30363,undefined,1000000
1823365,319148,undefined,10000000
19603059,3177598,undefined,100000000
21,3,undefined,100
183,26,undefined,1000
1830,331,undefined,10000
20066,2812,undefined,100000
183480,31693,undefined,1000000
1850458,317652,undefined,10000000
19557429,3203066,undefined,100000000
22,3,undefined,100
180,27,undefined,1000
1806,267,undefined,10000
19686,2896,undefined,100000
182008,30792,undefined,1000000
1833380,318207,undefined,10000000
19519437,3197139,undefined,100000000
21,3,undefined,100
184,32,undefined,1000
1752,265,undefined,10000
20164,2728,undefined,100000
184160,31242,undefined,1000000
1843599,314186,undefined,10000000
19671884,3192573,undefined,100000000
29,3,undefined,100
203,31,undefined,1000
1841,379,undefined,10000
21324,3059,undefined,100000
187603,30356,undefined,1000000
1821317,312221,undefined,10000000
20356105,3200350,undefined,100000000
23,3,undefined,100
193,28,undefined,1000
1948,280,undefined,10000
20466,3043,undefined,100000
185497,31274,undefined,1000000
1832068,320953,undefined,10000000
19750233,3197167,undefined,100000000
22,3,undefined,100
192,28,undefined,1000
1814,344,undefined,10000
18759,2633,undefined,100000
